texture_name,delimiter_1,x-tile,y-tile,placeholder,x-res,y-res,delimiter_2,actual_num_TGAs
act_attackground.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_borderdown.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_borderup.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_circlein_down.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_circlein_up.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_circleout_down.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_circleout_up.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_convert.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_deepwedge_down.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_deepwedge_up.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_erectwonder.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_explore.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_heal.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_infiniteatomic.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_infinitebomber.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_infinitefighter.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_locked.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_long_down.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_long_up.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_loose_down.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_loose_up.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_patrol.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_populate.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_rallypoint.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_repair.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_replantfarms.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_sentry.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_shallowwedge_down.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_shallowwedge_up.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_short_down.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_short_up.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_staggered_down.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_staggered_up.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_stop.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_timedatomic.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_timedbomber.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_timedfighter.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_timedrallypoint.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_unloadtransport.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
act_unlocked.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
aggressivebehaviornormal.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
aggressivebehaviorpressed.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
air_a10_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_albatross_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_antisub_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_antisubhelicopter_12t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_apache_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_b17_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_b2_11t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_b29_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_b52bomber_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_balloon_09t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_bomber_12t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_c47_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_chinook_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_corsair_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_f117a_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_f14_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_f15_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_f66_11t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_f-86sabre_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_fighterone_11t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_fighterone_12t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_fightertwo_11t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_fightertwo_12t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_fokker_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_fw190_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_gotha_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_he111_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_helicopter_11t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_helicoptermgun_12t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_infotransport_11t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_me109_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_me110_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_me262_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_mghelicopter_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_nanobomber_12t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_observationballoon_09t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_p38_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_p51_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_redbaron_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_shootingstarf80_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_sopwith_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_sopwithtriplane_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_spitfire_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_transport_12t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_typhoon_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
air_ufo_13t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
airunitbitmap.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
airunitshadowbitmap.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_acacia01t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_aloet.sst,b'\x00',1,1,b'\x00\x00\x00',32,32,b'\x00',1
amb_apple02t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_artifactt.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_bamboo.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_bush.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_cacti5t.sst,b'\x00',1,1,b'\x00\x00\x00',32,32,b'\x00',1
amb_cactus01t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_cactusprickly_00t.sst,b'\x00',1,1,b'\x00\x00\x00',32,32,b'\x00',1
amb_cactusround_00t.sst,b'\x00',1,1,b'\x00\x00\x00',32,32,b'\x00',1
amb_cactustall_00t.sst,b'\x00',1,1,b'\x00\x00\x00',32,32,b'\x00',1
amb_cattails.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_clam1t.sst,b'\x00',1,2,b'\x00\x00\x00',32,32,b'\x00',2
amb_clifft.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_computers_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_coralfan.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_cottonwood01t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_cottonwood02t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_cowskull_00t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_crabgrass.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_daffodils.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_daisies.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_deadtreet.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_deer_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_dinobones_00t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_dolphin_00t.sst,b'\x00',7,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_eagle_00t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_earthquake.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_elephant_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_fern_00.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_fernpatch_00t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_fir01t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_fishiest.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_flagt.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_fliest.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_flower_01t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_flower_02t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_flower_03t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_flower_04t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_foundationt.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_giantclam_00t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_giraffe_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_goldrest.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_hippo_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_horse_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_hotspringst.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_hurricanet.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_iceberg4t.sst,b'\x00',1,2,b'\x00\x00\x00',64,64,b'\x00',2
amb_iceformationone_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_lilypads_01.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_lilypads_02.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_lilypads_03.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_lilypads_04.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_lilypads_05.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_log.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_maplet.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_ostrich_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_palm05t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_palm06t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_palmt.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_pathpoint_00.sst,b'\x00',1,1,b'\x00\x00\x00',16,16,b'\x00',1
amb_portablecomputer.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_ram_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_ratst.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_roads_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_rocks10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_roses.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_rubblet.sst,b'\x00',3,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_ruin1_04t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_seagrass_01.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_seagrass_02.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_seagrass_03.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_seastalk_01.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_seastalk_02.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_seastalk_03.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_seaweed_01.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_seaweed_02.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
